"","focal","competitor","treat","alpha","alpha_low","alpha_high","lambda","lambda_low","lambda_high","snd","snd_low","snd_high","fd","fd_low","fd_high","sp_pair"
"21","HOMU","PLER","D",0.161581300164679,0.115085831664738,0.21871972210013,615.615815149793,489.134914217808,765.363402988458,0.326327426049412,0.203862525830155,0.423420385979418,0.294704925273342,0.249017769316331,0.347481957416769,"HOMU_PLER"
"22","PLER","PLER","D",1.05462142546774,0.888253873279851,1.24354456850977,682.423943161771,590.0845818886,767.215301089695,0,0,0,1,1,1,"PLER_PLER"
"23","SACO","PLER","D",0.180823677817504,0.0988489428770981,0.305857333832763,550.616111507362,343.497682714459,852.110740381374,0.783806987746329,0.71407495519673,0.833020169829113,1.72184698419199,1.27361306185872,2.25941458853031,"SACO_PLER"
"24","URLI","PLER","D",0.0226827477585784,0.0140323181173672,0.035150532121176,73.6306287545226,62.1358723877844,87.9520034010974,0.854944516250928,0.807951101016711,0.895901083936301,1.49380957514445,1.10422448781552,1.98282779945829,"URLI_PLER"
"25","ACWR","SACO","D",0.0150576618493573,0.00582327047844419,0.0287431079175601,1726.88719047383,1303.75484399812,2365.15295668909,0.711874569209386,0.585345887137039,0.809393154125056,0.175300893556409,0.111307315066079,0.264344600152342,"ACWR_SACO"
"26","FEMI","SACO","D",0.0208407298665921,0.0117343096922174,0.0326061233711445,583.082239378668,486.01120785234,724.252957846795,0.514306085335003,0.331240082426545,0.651105367923023,0.159369993198687,0.113340100874377,0.215452590485687,"FEMI_SACO"
"27","HOMU","SACO","D",0.0312322894623151,0.0187966259230737,0.0506794279937408,615.615815149793,489.134914217808,765.363402988458,0.39143879600124,0.187421413464942,0.547332200172817,0.220072663099758,0.161654772632552,0.301380528459148,"HOMU_SACO"
"28","PLER","SACO","D",0.0380692957232985,0.0246757335413284,0.0597282236664927,682.423943161771,590.0845818886,767.215301089695,0.783806987746329,0.71407495519673,0.833020169829113,0.580771979827836,0.442592852668806,0.785167968058277,"PLER_SACO"
"29","SACO","SACO","D",0.142859381807763,0.067658251194205,0.267003602809268,550.616111507362,343.497682714459,852.110740381374,0,0,0,1,1,1,"SACO_SACO"
"30","URLI","SACO","D",0.00399344553624351,0.001,0.0130860819797372,73.6306287545226,62.1358723877844,87.9520034010974,0.694223805249457,0.436451671647005,0.842099501054477,0.409181371190958,0.2040546313402,0.770977976791099,"URLI_SACO"
"31","ACWR","URLI","D",0.00724447260604603,0.00176441180719117,0.016796516857189,1726.88719047383,1303.75484399812,2365.15295668909,0.856884361142523,0.792989710386447,0.918528905458149,0.221219450672184,0.124106985377849,0.354060727106588,"ACWR_URLI"
"32","FEMI","URLI","D",0.00245242473712568,0.001,0.00851695762749561,583.082239378668,486.01120785234,724.252957846795,0.89464744561058,0.805965647741251,0.933986177839011,0.114754677231816,0.0696703239518161,0.214411089036324,"FEMI_URLI"
"33","HOMU","URLI","D",0.0139927039008065,0.00588725592351096,0.0419272015486612,615.615815149793,489.134914217808,765.363402988458,0.625206426983492,0.371778089114597,0.750232794353248,0.201629874372724,0.123534365917479,0.354546340015087,"HOMU_URLI"
"34","PLER","URLI","D",0.0235715899253101,0.0150697024587793,0.0371772247855755,682.423943161771,590.0845818886,767.215301089695,0.854944516250928,0.807951101016711,0.895901083936301,0.669429368133017,0.504330232273748,0.905612957660886,"PLER_URLI"
"35","SACO","URLI","D",0.0844259073935806,0.0427071924134957,0.14604343524999,550.616111507362,343.497682714459,852.110740381374,0.694223805249457,0.436451671647005,0.842099501054477,2.44390402497898,1.29705399500853,4.90064841597153,"SACO_URLI"
"36","URLI","URLI","D",0.0246597872525648,0.0179829080047956,0.0323070192404046,73.6306287545226,62.1358723877844,87.9520034010974,0,0,0,1,1,1,"URLI_URLI"
"37","ACWR","ACWR","W",0.272456283999277,0.184126694061328,0.423850287841267,2156.62497336581,1595.39172451826,3066.86718976093,0,0,0,1,1,1,"ACWR_ACWR"
"38","FEMI","ACWR","W",0.254039328030297,0.169300242451597,0.343896902080803,2141.79928665798,1596.01231809502,2644.20990395686,0.444918503490209,0.2803114771233,0.575603155637513,0.603716134183313,0.463466426133942,0.803082775884045,"FEMI_ACWR"
"39","HOMU","ACWR","W",0.13942272228874,0.0909832223570868,0.197039062775213,740.869540363954,633.204934119179,865.953594009966,0.313612253261161,0.128545464525092,0.469883947211422,0.884784113440761,0.686094207708071,1.13313671395881,"HOMU_ACWR"
"40","PLER","ACWR","W",0.0823908985932266,0.0480516599334895,0.129059675235067,628.167484032264,499.797710217104,785.809054735543,0.365110623793971,0.181943677277371,0.504248869528244,0.561517890725328,0.425772043660542,0.705626662242712,"PLER_ACWR"
"41","SACO","ACWR","W",0.158349450008485,0.0680947527814002,0.282288501946901,1009.64008410243,683.733627137797,1393.73714245819,0.761178832469993,0.665128497204601,0.840980042151369,3.09825782458015,2.08582099967939,4.58560410549546,"SACO_ACWR"
"42","URLI","ACWR","W",0.0435497619733391,0.0176381956074368,0.12371158952176,87.6931958304996,62.8079013206506,162.426318988045,0.427356678362993,0.15575178778152,0.599641101464722,2.4761860051612,1.2468425485013,4.72424367302378,"URLI_ACWR"
"43","ACWR","FEMI","W",0.204161305522488,0.112698389551676,0.373704108588832,2156.62497336581,1595.39172451826,3066.86718976093,0.444918503490209,0.2803114771233,0.575603155637513,1.65640783421651,1.24520273147661,2.15765369830582,"ACWR_FEMI"
"44","FEMI","FEMI","W",0.592070505469455,0.430564519069045,0.750419602840979,2141.79928665798,1596.01231809502,2644.20990395686,0,0,0,1,1,1,"FEMI_FEMI"
"45","HOMU","FEMI","W",0.108535438850784,0.0739658607421877,0.154790758383043,740.869540363954,633.204934119179,865.953594009966,0.475541460006676,0.36677967603012,0.57403330651249,1.16236164945271,0.925082854582603,1.4011514546989,"HOMU_FEMI"
"46","PLER","FEMI","W",0.415222266828531,0.280541844577344,0.616064654800715,628.167484032264,499.797710217104,785.809054735543,-0.0785946643728292,-0.312114125312514,0.107777379703382,2.14352547299157,1.75687577857036,2.57505001489198,"PLER_FEMI"
"47","SACO","FEMI","W",0.314110070717553,0.186169588625295,0.495768427245555,1009.64008410243,683.733627137797,1393.73714245819,0.368128344268953,0.209295530277915,0.506305530625917,3.0824116543075,2.49839081078354,3.8747763287736,"SACO_FEMI"
"48","URLI","FEMI","W",0.0526771548655533,0.0284313850600526,0.122473478591837,87.6931958304996,62.8079013206506,162.426318988045,0.352756201496792,-0.00552908996197394,0.545883437101344,3.43656901947461,1.90396716147649,5.67807363522618,"URLI_FEMI"
"49","ACWR","HOMU","W",0.924261108407836,0.55988431864034,1.49753272561527,2156.62497336581,1595.39172451826,3066.86718976093,0.313612253261161,0.128545464525092,0.469883947211422,1.13021924857451,0.882506190983074,1.45752610982374,"ACWR_HOMU"
"50","FEMI","HOMU","W",1.43255812527945,1.02230303062921,1.90421871203726,2141.79928665798,1596.01231809502,2644.20990395686,0.475541460006676,0.36677967603012,0.57403330651249,0.860317441327875,0.713699075246797,1.08098430786387,"FEMI_HOMU"
"51","HOMU","HOMU","W",0.952825505763896,0.757499586200096,1.1831536336258,740.869540363954,633.204934119179,865.953594009966,0,0,0,1,1,1,"HOMU_HOMU"
"52","PLER","HOMU","W",1.0188120045721,0.718038508420869,1.40536814200444,628.167484032264,499.797710217104,785.809054735543,0.349943089475888,0.188139542980811,0.478169063558711,1.64958197589989,1.29744939650663,2.0003796084668,"PLER_HOMU"
"53","SACO","HOMU","W",0.88767280000708,0.546520641932857,1.4029627516138,1009.64008410243,683.733627137797,1393.73714245819,0.561027411092904,0.448556001052181,0.652033165121641,2.38738498345636,1.89678277300426,2.97978949935115,"SACO_HOMU"
"54","URLI","HOMU","W",0.133517262645225,0.0519963869835616,0.426941131458609,87.6931958304996,62.8079013206506,162.426318988045,0.634129086676943,0.383380708340365,0.811312687150898,2.98467166047498,1.26996827444134,6.49642479112105,"URLI_HOMU"
"55","ACWR","PLER","W",0.5644210657013,0.370670072713855,0.892761477160259,2156.62497336581,1595.39172451826,3066.86718976093,0.365110623793971,0.181943677277371,0.504248869528244,1.78088818845925,1.41718006705042,2.34867513939086,"ACWR_PLER"
"56","FEMI","PLER","W",0.668554065735683,0.484658939942707,0.887555123765328,2141.79928665798,1596.01231809502,2644.20990395686,-0.0785946643728292,-0.312114125312514,0.107777379703382,0.466521383806996,0.388342098710008,0.569192231330357,"FEMI_PLER"
"57","HOMU","PLER","W",0.159873129944548,0.116372895971428,0.223306961067231,740.869540363954,633.204934119179,865.953594009966,0.349943089475888,0.188139542980811,0.478169063558711,0.606214225286527,0.499905148265459,0.770742976718605,"HOMU_PLER"
"58","PLER","PLER","W",0.405779060926552,0.303303711315498,0.537727556704266,628.167484032264,499.797710217104,785.809054735543,0,0,0,1,1,1,"PLER_PLER"
"59","SACO","PLER","W",0.429605358551114,0.266904635105148,0.677561509528053,1009.64008410243,683.733627137797,1393.73714245819,0.780745619224858,0.706067587037946,0.852296031502514,5.33253650675865,3.97496699808197,8.32069681684194,"SACO_PLER"
"60","URLI","PLER","W",0.0286389896507271,0.0139631142118328,0.076737606802956,87.6931958304996,62.8079013206506,162.426318988045,0.680487040579422,0.49137392737663,0.81476956438745,1.747923145406,0.851590658763304,3.59931945259903,"URLI_PLER"
"61","ACWR","SACO","W",0.0168319314170273,0.00740793559998317,0.0337001180347515,2156.62497336581,1595.39172451826,3066.86718976093,0.761178832469993,0.665128497204601,0.840980042151369,0.322762497662197,0.218073786028101,0.479428030781949,"ACWR_SACO"
"62","FEMI","SACO","W",0.11172202558811,0.0687084015968741,0.171845302279389,2141.79928665798,1596.01231809502,2644.20990395686,0.368128344268953,0.209295530277915,0.506305530625917,0.324421348389625,0.258079583065556,0.400257636492194,"FEMI_SACO"
"63","HOMU","SACO","W",0.0314508540621411,0.0214939911504865,0.0433253112065658,740.869540363954,633.204934119179,865.953594009966,0.561027411092904,0.448556001052181,0.652033165121641,0.418868361577386,0.335594194343172,0.527208568466893,"HOMU_SACO"
"64","PLER","SACO","W",0.0070472972054039,0.00286382799543306,0.0135686019454432,628.167484032264,499.797710217104,785.809054735543,0.780745619224858,0.706067587037946,0.852296031502514,0.187528440732409,0.120182249006611,0.251574549871977,"PLER_SACO"
"65","SACO","SACO","W",0.1525550333456,0.0947047878411287,0.221598257326371,1009.64008410243,683.733627137797,1393.73714245819,0,0,0,1,1,1,"SACO_SACO"
"66","URLI","SACO","W",0.0377751746736943,0.0224187385726349,0.0706480173091971,87.6931958304996,62.8079013206506,162.426318988045,0.426626023253484,-0.0380580587230564,0.675299549291653,2.83486001152079,1.46111577941601,5.5554143618889,"URLI_SACO"
"67","ACWR","URLI","W",0.0280864116348189,0.0151533865014086,0.0532475355370867,2156.62497336581,1595.39172451826,3066.86718976093,0.427356678362993,0.15575178778152,0.599641101464722,0.403847107223599,0.211674097220624,0.802039153287715,"ACWR_URLI"
"68","FEMI","URLI","W",0.0633316977488554,0.0388939316710841,0.0957994242257171,2141.79928665798,1596.01231809502,2644.20990395686,0.352756201496792,-0.00552908996197394,0.545883437101344,0.290987923405285,0.176116091295436,0.525229507610629,"FEMI_URLI"
"69","HOMU","URLI","W",0.0130158012177685,0.00333141555973139,0.0330075667585907,740.869540363954,633.204934119179,865.953594009966,0.634129086676943,0.383380708340365,0.811312687150898,0.335045311296942,0.153930826429113,0.78742124567867,"HOMU_URLI"
"70","PLER","URLI","W",0.0208506053599427,0.00692525547990651,0.0399866423975459,628.167484032264,499.797710217104,785.809054735543,0.680487040579422,0.49137392737663,0.81476956438745,0.572107951830771,0.277830371077478,1.17427332166391,"PLER_URLI"
"71","SACO","URLI","W",0.0210166465296755,0.00575225554294048,0.0434330883278512,1009.64008410243,683.733627137797,1393.73714245819,0.426626023253484,-0.0380580587230564,0.675299549291653,0.352751301066916,0.180004654831733,0.68440846606763,"SACO_URLI"
"72","URLI","URLI","W",0.013116684817401,0.00393461252703192,0.0477217202339614,87.6931958304996,62.8079013206506,162.426318988045,0,0,0,1,1,1,"URLI_URLI"
